Id,Front,Item A,Item B,Legs,Pilot,Rarity,Rarity (percent),Serial Number,Theme,Top,Price
67,Skyhammer,Ravager,Skyhammer,Renegade,Staffie,D,0.4924,354488909444058424,Seal,Ironclaw,0.235
68,Ironclaw,Peacekeeper,Deep Fried,Spyder,Fruit Bat,C,0.2973,481868027888804217,Grape,Ironclaw,
69,Renegade,Spyder,Buster,Buster,Brown Moose,C,0.2973,307229752015840797,Grape,Deep Fried,0.3
70,Spyder,Ravager,Infiltrator,Ironclaw,Bear,D,0.4924,210051788212946633,Red,Infiltrator,0.15
71,Ironclaw,Renegade,Breaker,Skyhammer,Tribal Boar,S,0.0296,727295543806913598,Orng,Buster,0.85
72,Skyhammer,No Item,Skyhammer,Ironclaw,Boid,C,0.2973,185753886444050757,Grape,Ravager,0.1424
73,Ravager,No Item,Renegade,Peacekeeper,Snake,D,0.4924,142193575388436396,Seal,Ravager,0.121
74,Ravager,No Item,Buster,Spyder,Raccoon,B,0.0992,403004628311427024,Seal,Skyhammer,0.25
75,Infiltrator,Skyhammer,Buster,Ironclaw,Bull,D,0.4924,779239184195607704,Ghost,Deep Fried,
76,Deep Fried,Breaker,Buster,Ironclaw,Blaze,D,0.4924,289885083963607517,Mint,Buster,
77,Peacekeeper,Ironclaw,Ironclaw,Peacekeeper,Orange Hamster,D,0.4924,494291771763453037,Mint,Infiltrator,0.12
78,Skyhammer,Infiltrator,No Item,Peacekeeper,Prince Cat,D,0.4924,563278976428221222,Maverick,Ironclaw,0.165
79,Renegade,No Item,No Item,Peacekeeper,Blaze,D,0.4924,568695471066337040,Seal,Buster,
80,Ravager,No Item,Breaker,Renegade,Grey Wolf,D,0.4924,491178006355217512,Mint,Ironclaw,0.12
81,Skyhammer,No Item,Peacekeeper,Skyhammer,Python,D,0.4924,846839941477644838,Camo,Deep Fried,
82,Ironclaw,Skyhammer,No Item,Spyder,Python,D,0.4924,141794720865882442,Snes,Skyhammer,0.25
83,Skyhammer,Renegade,Deep Fried,Deep Fried,Centipede,C,0.2973,126514191425502139,Corps,Skyhammer,
84,Peacekeeper,Ravager,Breaker,Infiltrator,Fox,D,0.4924,287028718784774292,Ghost,Ironclaw,0.225
85,Ravager,No Item,Buster,Deep Fried,Salmon,C,0.2973,782635396355067010,Orng,Buster,0.1
86,Deep Fried,Breaker,Deep Fried,Breaker,Great White,C,0.2973,720025862970808415,Corps,Buster,0.065
87,Ravager,No Item,Ironclaw,Ironclaw,Purple Centipede,B,0.0992,559081981355546001,Hero,Infiltrator,0.2
88,Ironclaw,Infiltrator,No Item,Breaker,Mako Shark,D,0.4924,703686860876004902,Orng,Breaker,0.141
89,Buster,Buster,No Item,Spyder,Mako Shark,D,0.4924,000030729566338437,Puff,Renegade,
90,Buster,Skyhammer,Ravager,Skyhammer,Orange Hamster,D,0.4924,007076641510485690,Orng,Breaker,
91,Deep Fried,No Item,Ravager,Skyhammer,Centipede,C,0.2973,309074643933802841,Grape,Skyhammer,0.126
92,Skyhammer,Buster,Breaker,Deep Fried,Staffie,D,0.4924,632266191424213023,C.A.T.,Breaker,0.15
93,Spyder,No Item,Skyhammer,Breaker,Black Shiba,C,0.2973,787406866200058432,Seal,Breaker,0.18
94,Deep Fried,Ironclaw,No Item,Spyder,Python,D,0.4924,771775929981669646,Unit 001,Buster,
95,Breaker,Renegade,No Item,Ravager,Blue Spider,B,0.0992,308052731682771044,Phantom,Spyder,0.25
96,Renegade,Skyhammer,No Item,Breaker,Grey Hamster,D,0.4924,421078660080112431,Hero,Ironclaw,
97,Buster,No Item,Buster,Ravager,Salmon,C,0.2973,360088430577244907,Corps,Ironclaw,0.15
98,Peacekeeper,No Item,Buster,Spyder,Corgi,D,0.4924,844871928733362027,Nero,Infiltrator,
99,Peacekeeper,Spyder,No Item,Deep Fried,Centipede,C,0.2973,421549292727552146,High Tide,Deep Fried,
100,Ravager,No Item,Skyhammer,Deep Fried,Loxy Doge,B,0.0992,409054594366002826,Orng,Skyhammer,0.25
101,Deep Fried,Buster,Skyhammer,Ironclaw,Orange Hamster,D,0.4924,842866584960601276,Maverick,Breaker,0.13
102,Ravager,Deep Fried,No Item,Ravager,Cave Bat,D,0.4924,147204032300664923,Corps,Skyhammer,0.07
103,Peacekeeper,Peacekeeper,Renegade,Skyhammer,Python,D,0.4924,076834846732244903,Dune,Skyhammer,0.065
104,Peacekeeper,No Item,Breaker,Infiltrator,Teal Frog,B,0.0992,353310411722912494,Maverick,Renegade,
105,Infiltrator,No Item,Ironclaw,Ironclaw,Salmon,C,0.2973,186527382166362126,Orng,Peacekeeper,0.053
106,Renegade,No Item,Renegade,Ironclaw,Hare,C,0.2973,724456987077356384,Ghost,Breaker,0.18
107,Peacekeeper,No Item,Ravager,Breaker,Snake,D,0.4924,910076969788440693,Red,Breaker,0.1799
108,Spyder,No Item,Ravager,Renegade,Black Pupper,C,0.2973,480931405233163001,Hero,Infiltrator,0.1675
109,Infiltrator,Buster,No Item,Peacekeeper,White Pupper,C,0.2973,900079177154337865,C.A.T.,Deep Fried,0.0867
110,Peacekeeper,Ironclaw,Breaker,Peacekeeper,Fruit Bat,C,0.2973,307299674736630789,Grape,Deep Fried,0.11
111,Infiltrator,No Item,Buster,Renegade,Purple Frog,C,0.2973,841236509177900091,Dune,Breaker,0.2
112,Renegade,Spyder,No Item,Renegade,Pig,D,0.4924,561562901069225473,Hero,Spyder,0.082
113,Buster,No Item,Ironclaw,Ironclaw,Bengal Cat,C,0.2973,120095088533090016,Royal,Buster,0.22
114,Infiltrator,Peacekeeper,Deep Fried,Spyder,White Mouse,D,0.4924,840021721164904881,Red,Infiltrator,0.1795
115,Infiltrator,No Item,Skyhammer,Spyder,Clover,C,0.2973,427759224177204240,Maverick,Deep Fried,0.2195
116,Ravager,Infiltrator,No Item,Ravager,Fruit Bat,C,0.2973,543684733360004825,Hero,Skyhammer,
117,Spyder,Breaker,No Item,Ironclaw,Ape,B,0.0992,050085780277003026,Guardian,Buster,
118,Ironclaw,No Item,Buster,Peacekeeper,Chicken,C,0.2973,488455973855904822,Royal,Buster,0.1277
119,Ravager,No Item,Renegade,Skyhammer,Purple Frog,C,0.2973,900027344333674971,Corps,Peacekeeper,
120,Deep Fried,Ironclaw,Infiltrator,Skyhammer,Peacock,B,0.0992,801536045972767860,Snes,Breaker,0.19
121,Skyhammer,No Item,No Item,Ironclaw,Boar,D,0.4924,001896987411772554,Phantom,Breaker,0.134
122,Breaker,No Item,No Item,Infiltrator,Grey Wolf,D,0.4924,428810714633776399,Dune,Renegade,0.1843
123,Infiltrator,No Item,Skyhammer,Peacekeeper,Boid,C,0.2973,907690772166854287,Corps,Renegade,0.0832
124,Skyhammer,No Item,Skyhammer,Deep Fried,Blaze,D,0.4924,631823598422401260,Snes,Ravager,0.179
125,Buster,Peacekeeper,Deep Fried,Ironclaw,Dobermann,C,0.2973,069034481580305629,Puff,Skyhammer,0.13
126,Skyhammer,No Item,Buster,Deep Fried,Peacock,B,0.0992,151519790477067298,Spec. Ops,Deep Fried,0.2125
127,Ravager,Peacekeeper,Skyhammer,Renegade,Dobermann,C,0.2973,060960901300708457,Red,Renegade,0.16
128,Breaker,Peacekeeper,No Item,Infiltrator,Tan Frenchie,A,0.0593,280065715632668405,C.A.T.,Buster,0.1586
129,Breaker,Peacekeeper,No Item,Ravager,Bear,D,0.4924,770089739616332828,Ghost,Deep Fried,0.103
130,Buster,Peacekeeper,Skyhammer,Renegade,Snake,D,0.4924,776348408532300052,Ghost,Ironclaw,0.108
131,Peacekeeper,Ravager,Deep Fried,Peacekeeper,Snake,D,0.4924,562134271732002111,Dune,Skyhammer,0.127
132,Deep Fried,Skyhammer,Ravager,Infiltrator,German Shepherd,C,0.2973,068877314915040061,Puff,Peacekeeper,0.14
133,Ironclaw,No Item,No Item,Peacekeeper,Golden Pupper,D,0.4924,147250870822221478,High Tide,Renegade,0.1212
134,Peacekeeper,No Item,Ironclaw,Ironclaw,Fruit Bat,C,0.2973,840056583788634206,High Tide,Breaker,0.095
135,Buster,Buster,No Item,Deep Fried,Bull,D,0.4924,497244396554553559,Dune,Skyhammer,
136,Renegade,No Item,Peacekeeper,Renegade,Salmon,C,0.2973,361376300066641892,Spec. Ops,Breaker,0.12
137,Ironclaw,No Item,No Item,Deep Fried,Pig,D,0.4924,427584699844442127,Dune,Skyhammer,
138,Renegade,No Item,Ravager,Ravager,Blue Macaw,A,0.0593,840086833011366040,Crimson,Breaker,0.1175
139,Infiltrator,No Item,Ironclaw,Infiltrator,Tan Frenchie,A,0.0593,043651412100008460,Ghost,Infiltrator,0.1189
140,Deep Fried,Buster,No Item,Breaker,Black Horse,D,0.4924,289485962954007231,Hero,Buster,0.1995
141,Peacekeeper,Buster,Breaker,Deep Fried,Brown Moose,C,0.2973,367861391778421572,Mint,Infiltrator,0.11
142,Ironclaw,No Item,Spyder,Ironclaw,Bear,D,0.4924,700098185800812497,Hero,Ironclaw,0.116
143,Spyder,Ravager,No Item,Ravager,Great White,C,0.2973,420038530296449126,Orng,Ironclaw,0.119
144,Deep Fried,No Item,No Item,Buster,Mako Shark,D,0.4924,773691855966222833,Grape,Infiltrator,
145,Buster,Peacekeeper,No Item,Deep Fried,Grey Wolf,D,0.4924,843387394564331208,Spec. Ops,Peacekeeper,0.131
146,Renegade,Infiltrator,No Item,Peacekeeper,German Shepherd,C,0.2973,122415075002441243,Hero,Buster,0.11
147,Spyder,No Item,Breaker,Infiltrator,Canadian Goose,D,0.4924,917501214233778502,Mint,Infiltrator,0.1249
148,Renegade,No Item,Ironclaw,Infiltrator,Orange Spider,A,0.0593,245612218077090088,Maverick,Spyder,
149,Skyhammer,Peacekeeper,Ravager,Buster,Snake,D,0.4924,770021053440288415,Corps,Infiltrator,
150,Skyhammer,No Item,No Item,Deep Fried,Rabbit,D,0.4924,777293893477664891,Hero,Ravager,0.13
151,Deep Fried,Buster,No Item,Ravager,Prince Cat,D,0.4924,286484333942553652,Maverick,Skyhammer,0.095
152,Renegade,Ravager,Peacekeeper,Skyhammer,Orange Cat,D,0.4924,560040140080324832,Spec. Ops,Renegade,0.11
153,Renegade,Buster,No Item,Spyder,Black Horse,D,0.4924,350803829030116001,Hero,Ravager,0.1248
154,Renegade,No Item,Infiltrator,Spyder,Giraffe,A,0.0593,483098428011441871,C.A.T.,Ironclaw,0.35
155,Buster,No Item,No Item,Ironclaw,Canadian Goose,D,0.4924,560010282511447825,Hero,Renegade,0.1335
156,Spyder,No Item,Deep Fried,Deep Fried,Fruit Bat,C,0.2973,240043092200104805,Camo,Ravager,0.135
157,Ironclaw,Renegade,Renegade,Ironclaw,Red Macaw,S,0.0296,844835785832103042,Snes,Buster,0.69
158,Ironclaw,No Item,No Item,Renegade,Black Horse,D,0.4924,561413805877554290,Orng,Ravager,
159,Renegade,No Item,Spyder,Ravager,Black Shiba,C,0.2973,188028330000603918,Unit 001,Ironclaw,0.25
160,Ironclaw,No Item,Skyhammer,Buster,Snake,D,0.4924,636335956855504995,Corps,Buster,
161,Renegade,No Item,Buster,Skyhammer,Tuxedo Cat,C,0.2973,241600245033909003,Red,Renegade,
162,Deep Fried,Ravager,Spyder,Buster,Polar Bear,B,0.0992,555608353904392194,High Tide,Ironclaw,0.1119
163,Deep Fried,No Item,No Item,Deep Fried,Orange Cat,D,0.4924,143939193944004900,Seal,Deep Fried,0.109
164,Skyhammer,Ravager,No Item,Infiltrator,Green Frog,D,0.4924,287261319456777754,High Tide,Infiltrator,0.12
165,Infiltrator,No Item,No Item,Ravager,Rabbit,D,0.4924,073608535188887612,Nero,Ironclaw,0.1515
166,Ravager,No Item,Skyhammer,Infiltrator,Cave Bat,D,0.4924,217270519344254297,Hero,Renegade,
167,Spyder,No Item,Renegade,Infiltrator,Koi Spirit,S,0.0296,633376713211847095,Corps,Breaker,
168,Peacekeeper,Ironclaw,No Item,Deep Fried,White Mouse,D,0.4924,634695793736885645,Puff,Buster,0.13
169,Breaker,No Item,No Item,Infiltrator,Collie,D,0.4924,075085514622556330,High Tide,Buster,
170,Renegade,Ironclaw,No Item,Spyder,Snake,D,0.4924,564209523027444816,Maverick,Deep Fried,0.15
171,Ravager,No Item,Spyder,Buster,Orange Cat,D,0.4924,141316254333429034,Maverick,Breaker,
172,Ravager,Spyder,Spyder,Breaker,Rabbit,D,0.4924,071829967312631215,Red,Deep Fried,0.14
173,Peacekeeper,No Item,Peacekeeper,Skyhammer,Staffie,D,0.4924,700099845777884942,Orng,Deep Fried,
174,Deep Fried,Skyhammer,No Item,Skyhammer,Staffie,D,0.4924,490035548995446318,Orng,Buster,
175,Peacekeeper,No Item,Renegade,Peacekeeper,Boar,D,0.4924,917576174722456647,C.A.T.,Breaker,
176,Ravager,Skyhammer,Renegade,Spyder,Rooster,D,0.4924,425782023370359025,Crimson,Spyder,
177,Renegade,No Item,Ironclaw,Deep Fried,Bull,D,0.4924,917616593044453556,Seal,Breaker,
178,Breaker,Infiltrator,Buster,Ironclaw,Golden Pupper,D,0.4924,075695983656722851,Dune,Buster,
179,Deep Fried,No Item,Infiltrator,Renegade,Zebra,B,0.0992,907256103911007783,Dune,Breaker,
180,Buster,No Item,Ironclaw,Spyder,Purple Frog,C,0.2973,848454823500816347,Corps,Skyhammer,
181,Infiltrator,Renegade,Ironclaw,Peacekeeper,Bengal Cat,C,0.2973,120047371112275631,Royal,Peacekeeper,
182,Ravager,No Item,Ravager,Buster,Clover,C,0.2973,122883656311129570,Crimson,Ravager,
183,Ironclaw,No Item,Deep Fried,Spyder,Turkey,C,0.2973,546000421833505626,Camo,Renegade,
184,Spyder,Ravager,Deep Fried,Skyhammer,Tuna,C,0.2973,783092142248104987,Corps,Spyder,
185,Buster,Breaker,No Item,Peacekeeper,Penguin,B,0.0992,602811978528551294,Maverick,Infiltrator,0.2575
186,Infiltrator,No Item,Deep Fried,Deep Fried,Blue Macaw,A,0.0593,680054294155404973,Grape,Skyhammer,0.2
187,Peacekeeper,Ravager,Infiltrator,Spyder,Brown Moose,C,0.2973,308419928724727725,Grape,Deep Fried,
188,Renegade,No Item,Skyhammer,Infiltrator,Koala,A,0.0593,168510619066707845,Red,Renegade,0.15
189,Renegade,No Item,Infiltrator,Peacekeeper,Dobermann,C,0.2973,900028979000985642,Orng,Ironclaw,0.1417
190,Buster,Ironclaw,No Item,Infiltrator,Grey Hamster,D,0.4924,219027114554887056,Seal,Peacekeeper,0.056
191,Skyhammer,No Item,Buster,Ravager,Centipede,C,0.2973,608531930433788462,High Tide,Infiltrator,0.1467
192,Renegade,No Item,Peacekeeper,Ironclaw,Hare,C,0.2973,123319787077724210,Orng,Deep Fried,0.1592
193,Buster,No Item,Infiltrator,Spyder,Orange Hamster,D,0.4924,002834427500328800,Nero,Skyhammer,0.25
194,Peacekeeper,No Item,Spyder,Ironclaw,Bull,D,0.4924,423228584788544089,Phantom,Ironclaw,
195,Peacekeeper,No Item,Renegade,Ironclaw,Snake,D,0.4924,492121489777952172,Seal,Infiltrator,0.08
196,Spyder,No Item,No Item,Buster,Rottweiler,D,0.4924,772075159277444924,Seal,Buster,0.125
197,Renegade,No Item,No Item,Buster,Staffie,D,0.4924,216678950044226685,Hero,Ironclaw,0.1187
198,Peacekeeper,Breaker,Spyder,Infiltrator,Rooster,D,0.4924,631986017749062124,Seal,Breaker,0.1935
199,Ravager,No Item,No Item,Breaker,Corgi,D,0.4924,490006469366771494,High Tide,Breaker,0.1925
200,Buster,Buster,Renegade,Skyhammer,German Shepherd,C,0.2973,540812244566817001,Grape,Spyder,0.1975
201,Ravager,Spyder,No Item,Deep Fried,Bulldog,A,0.0593,727774796306883040,Maverick,Skyhammer,0.1444
202,Peacekeeper,Ravager,No Item,Buster,Ape,B,0.0992,550093759716446091,Hero,Ravager,0.125
203,Spyder,No Item,Deep Fried,Skyhammer,Boar,D,0.4924,842107448277307743,Dune,Peacekeeper,0.25
204,Infiltrator,Skyhammer,Skyhammer,Buster,Rottweiler,D,0.4924,632044358165604949,Grape,Skyhammer,
205,Spyder,Ravager,No Item,Buster,Red Squid,A,0.0593,364498351292773001,Hero,Ironclaw,0.221
206,Ironclaw,No Item,Infiltrator,Breaker,Black Widow,S,0.0296,360019663888780049,Grape,Deep Fried,0.24
207,Spyder,Infiltrator,No Item,Skyhammer,Raccoon,B,0.0992,656053746208771491,Dune,Ravager,
208,Ravager,No Item,Spyder,Deep Fried,Collie,D,0.4924,288559398300789174,Orng,Deep Fried,0.113
209,Ironclaw,No Item,No Item,Deep Fried,Rooster,D,0.4924,637664193866004947,Corps,Skyhammer,0.15
210,Buster,No Item,No Item,Spyder,Prince Cat,D,0.4924,840053527533443650,Spec. Ops,Ravager,0.069
211,Ravager,No Item,Ironclaw,Deep Fried,Orange Cat,D,0.4924,073925496355363570,High Tide,Buster,0.06
212,Infiltrator,Spyder,Breaker,Peacekeeper,Boid,C,0.2973,007637372112213648,Snes,Peacekeeper,0.18
213,Skyhammer,Breaker,No Item,Spyder,Prince Cat,D,0.4924,703241729442880021,Nero,Infiltrator,
214,Spyder,No Item,Renegade,Spyder,Canadian Goose,D,0.4924,215019329277651456,Seal,Deep Fried,
215,Deep Fried,No Item,Ironclaw,Spyder,Turkey,C,0.2973,184068722977364989,Grape,Ironclaw,0.1022
216,Renegade,Deep Fried,Deep Fried,Renegade,Kaiju Styx,S+,0.01,547273008040604952,Ghost,Ravager,0.78
217,Peacekeeper,No Item,Ravager,Ironclaw,Salmon,C,0.2973,126538189733123550,Orng,Ironclaw,0.0869
218,Infiltrator,Ravager,Ravager,Infiltrator,Purple Dragon,S+,0.01,602478113108203049,Hero,Ironclaw,0.275
219,Ironclaw,No Item,Deep Fried,Infiltrator,Teal Frog,B,0.0992,401159012866803561,Puff,Deep Fried,0.08
220,Ironclaw,Infiltrator,No Item,Breaker,Tiger,C,0.2973,304285667870335407,Hero,Buster,0.145
221,Skyhammer,No Item,Ravager,Infiltrator,White Pupper,C,0.2973,121766315411405644,Ghost,Breaker,0.1685
222,Infiltrator,Skyhammer,Ironclaw,Peacekeeper,Black Horse,D,0.4924,700750872135009098,Spec. Ops,Renegade,
223,Breaker,No Item,Ravager,Ironclaw,Centipede,C,0.2973,245084586633643521,Puff,Skyhammer,
224,Infiltrator,No Item,Infiltrator,Infiltrator,Panda,A,0.0593,563686812144229233,Nero,Breaker,0.136
225,Renegade,No Item,Skyhammer,Renegade,Centipede,C,0.2973,726013002044504268,Spec. Ops,Ravager,0.117
226,Breaker,No Item,Breaker,Ravager,Blue Spider,B,0.0992,706420834644844967,Dune,Renegade,0.208
227,Infiltrator,Peacekeeper,No Item,Breaker,Great White,C,0.2973,727069361148228446,Maverick,Deep Fried,
228,Peacekeeper,No Item,No Item,Spyder,Bear,D,0.4924,700015928744773500,Seal,Buster,0.125
229,Ravager,Buster,Infiltrator,Ravager,Black Moose,B,0.0992,506666635312360762,High Tide,Breaker,0.177
230,Spyder,No Item,Spyder,Buster,Bull,D,0.4924,776890653211601576,Guardian,Renegade,
231,Breaker,Buster,Infiltrator,Peacekeeper,Black Horse,D,0.4924,771971970672364253,Puff,Infiltrator,
